n_robots,ssp_ms,iterq,cpu_limit,participant,run,role,metric,run_median_s,participant_group
8,20000.0,1.0,,Robot3,3,verifier,signatures_fetch,0.002122983,Robot
8,20000.0,1.0,,Robot3,3,verifier,total_lifecycle,0.009486122999999999,Robot
8,20000.0,1.0,,Robot3,3,verifier,verify_compute,2.27e-06,Robot
8,20000.0,1.0,,Robot4,1,prover,e2e_blockchain,5.2876693345,Robot
8,20000.0,1.0,,Robot4,1,prover,evidence_call,0.016249515500000002,Robot
8,20000.0,1.0,,Robot4,1,prover,total_lifecycle,5.3057460345,Robot
8,20000.0,1.0,,Robot4,1,verifier,reaction_time,0.005443675,Robot
8,20000.0,1.0,,Robot4,1,verifier,result_call,0.009724252999999999,Robot
8,20000.0,1.0,,Robot4,1,verifier,signatures_fetch,0.002264559,Robot
8,20000.0,1.0,,Robot4,1,verifier,total_lifecycle,0.013113089,Robot
8,20000.0,1.0,,Robot4,1,verifier,verify_compute,9.51e-07,Robot
8,20000.0,1.0,,Robot4,2,prover,e2e_blockchain,4.8662783715,Robot
8,20000.0,1.0,,Robot4,2,prover,evidence_call,0.015059580999999999,Robot
8,20000.0,1.0,,Robot4,2,prover,total_lifecycle,4.882120277,Robot
8,20000.0,1.0,,Robot4,2,verifier,reaction_time,0.00613878,Robot
8,20000.0,1.0,,Robot4,2,verifier,result_call,0.010691905,Robot
8,20000.0,1.0,,Robot4,2,verifier,signatures_fetch,0.0022457500000000004,Robot
8,20000.0,1.0,,Robot4,2,verifier,total_lifecycle,0.012879822,Robot
8,20000.0,1.0,,Robot4,2,verifier,verify_compute,1.3860000000000002e-06,Robot
8,20000.0,1.0,,Robot4,3,prover,e2e_blockchain,5.177268265,Robot
8,20000.0,1.0,,Robot4,3,prover,evidence_call,0.014124371,Robot
8,20000.0,1.0,,Robot4,3,prover,total_lifecycle,5.195847555,Robot
8,20000.0,1.0,,Robot4,3,verifier,reaction_time,0.004955369,Robot
8,20000.0,1.0,,Robot4,3,verifier,result_call,0.009965762,Robot
8,20000.0,1.0,,Robot4,3,verifier,signatures_fetch,0.003763693,Robot
8,20000.0,1.0,,Robot4,3,verifier,total_lifecycle,0.014260664999999999,Robot
8,20000.0,1.0,,Robot4,3,verifier,verify_compute,1.771e-06,Robot
8,20000.0,1.0,,Robot5,1,prover,e2e_blockchain,5.2841212755,Robot
