participant,role,step,duration_s,run,attestation_id
Robot3,Verifier,blockchain_read,0.14400000000000002,1,attestation7677071772501
Robot3,Verifier,blockchain_read,0.107,1,attestation7677071963156
Robot3,Verifier,blockchain_read,0.109,1,attestation7677072149380
Robot3,Verifier,blockchain_read,0.10400000000000001,1,attestation7677072331667
Robot3,Verifier,blockchain_read,0.08700000000000001,1,attestation7677072524486
Robot3,Verifier,blockchain_read,0.1,1,attestation7677072712025
Robot3,Verifier,blockchain_read,0.088,2,attestation7677073593742
Robot3,Verifier,blockchain_read,0.112,2,attestation7677073965953
Robot3,Verifier,blockchain_read,0.096,2,attestation7677073966362
Robot3,Verifier,blockchain_read,0.192,2,attestation7677074144072
Robot3,Verifier,blockchain_read,0.094,2,attestation7677074523471
Robot3,Verifier,blockchain_read,0.28300000000000003,2,attestation7677074519156
Robot3,Verifier,blockchain_read,0.09,2,attestation7677074705097
Robot3,Verifier,blockchain_read,0.1,2,attestation7677074897986
Robot3,Verifier,blockchain_read,0.197,3,attestation7677075984541
Robot3,Verifier,blockchain_read,0.293,3,attestation7677076164967
Robot3,Verifier,blockchain_read,0.015,3,attestation7677076165257
Robot3,Verifier,blockchain_read,0.113,3,attestation7677076352633
Robot3,Verifier,blockchain_read,0.106,3,attestation7677076534676
Robot3,Verifier,blockchain_read,0.097,3,attestation7677076723726
Robot3,Verifier,blockchain_read,0.02,3,attestation7677076721468
Robot3,Verifier,blockchain_read,0.17200000000000001,3,attestation7677076901847
Robot3,Verifier,blockchain_read,0.10400000000000001,4,attestation7677078004608
Robot3,Verifier,blockchain_read,0.126,4,attestation7677078189538
Robot3,Verifier,blockchain_read,0.021,4,attestation7677078364108
Robot3,Verifier,blockchain_read,0.28300000000000003,4,attestation7677078558771
Robot3,Verifier,blockchain_read,0.167,4,attestation7677078922016
Robot3,Verifier,blockchain_read,0.089,4,attestation7677079109460
Robot3,Verifier,blockchain_read,0.166,4,attestation7677079299907
Robot3,Verifier,blockchain_read,0.083,5,attestation7677080198371
Robot3,Verifier,blockchain_read,0.08600000000000001,5,attestation7677080388621
Robot3,Verifier,blockchain_read,0.015,5,attestation7677080559891
Robot3,Verifier,blockchain_read,0.017,5,attestation7677080747223
Robot3,Verifier,blockchain_read,0.093,5,attestation7677081111168
Robot3,Verifier,blockchain_read,0.027,5,attestation7677081115994
Robot3,Verifier,blockchain_read,0.08600000000000001,5,attestation7677081308100
Robot3,Verifier,blockchain_read,0.081,5,attestation7677081491390
Robot3,Verifier,total_verifier,0.299,1,attestation7677071407600
Robot3,Verifier,total_verifier,0.258,1,attestation7677071599265
Robot3,Verifier,total_verifier,0.23800000000000002,1,attestation7677071772501
Robot3,Verifier,total_verifier,0.202,1,attestation7677071963156
Robot3,Verifier,total_verifier,0.292,1,attestation7677072149380
Robot3,Verifier,total_verifier,0.20500000000000002,1,attestation7677072331667
Robot3,Verifier,total_verifier,0.117,1,attestation7677072524486
Robot3,Verifier,total_verifier,0.23,1,attestation7677072712025
Robot3,Verifier,total_verifier,0.164,2,attestation7677073593742
Robot3,Verifier,total_verifier,0.298,2,attestation7677073965953
Robot3,Verifier,total_verifier,0.41000000000000003,2,attestation7677073966362
Robot3,Verifier,total_verifier,0.272,2,attestation7677074144072
Robot3,Verifier,total_verifier,0.128,2,attestation7677074523471
Robot3,Verifier,total_verifier,0.561,2,attestation7677074519156
Robot3,Verifier,total_verifier,0.271,2,attestation7677074705097
Robot3,Verifier,total_verifier,0.323,2,attestation7677074897986
Robot3,Verifier,total_verifier,0.251,3,attestation7677075984541
Robot3,Verifier,total_verifier,0.357,3,attestation7677076164967
Robot3,Verifier,total_verifier,0.303,3,attestation7677076165257
Robot3,Verifier,total_verifier,0.419,3,attestation7677076352633
Robot3,Verifier,total_verifier,0.17400000000000002,3,attestation7677076534676
Robot3,Verifier,total_verifier,0.14400000000000002,3,attestation7677076723726
Robot3,Verifier,total_verifier,0.214,3,attestation7677076721468
Robot3,Verifier,total_verifier,0.203,3,attestation7677076901847
Robot3,Verifier,total_verifier,0.197,4,attestation7677078004608
Robot3,Verifier,total_verifier,0.307,4,attestation7677078189538
Robot3,Verifier,total_verifier,0.11800000000000001,4,attestation7677078364108
Robot3,Verifier,total_verifier,0.383,4,attestation7677078558771
Robot3,Verifier,total_verifier,0.281,4,attestation7677078922016
Robot3,Verifier,total_verifier,0.379,4,attestation7677079109460
Robot3,Verifier,total_verifier,0.275,4,attestation7677079299907
Robot3,Verifier,total_verifier,0.215,5,attestation7677080198371
Robot3,Verifier,total_verifier,0.116,5,attestation7677080388621
Robot3,Verifier,total_verifier,0.094,5,attestation7677080559891
Robot3,Verifier,total_verifier,0.039,5,attestation7677080747223
Robot3,Verifier,total_verifier,0.158,5,attestation7677081111168
Robot3,Verifier,total_verifier,0.117,5,attestation7677081115994
Robot3,Verifier,total_verifier,0.108,5,attestation7677081308100
Robot3,Verifier,total_verifier,0.133,5,attestation7677081491390
Robot3,Verifier,verification_logic,0.0,1,attestation7677071407600
Robot3,Verifier,verification_logic,0.0,1,attestation7677071599265
Robot3,Verifier,verification_logic,0.0,1,attestation7677071772501
Robot3,Verifier,verification_logic,0.0,1,attestation7677071963156
Robot3,Verifier,verification_logic,0.0,1,attestation7677072149380
Robot3,Verifier,verification_logic,0.0,1,attestation7677072331667
Robot3,Verifier,verification_logic,0.0,1,attestation7677072524486
Robot3,Verifier,verification_logic,0.0,1,attestation7677072712025
Robot3,Verifier,verification_logic,0.0,2,attestation7677073593742
Robot3,Verifier,verification_logic,0.0,2,attestation7677073965953
Robot3,Verifier,verification_logic,0.0,2,attestation7677073966362
Robot3,Verifier,verification_logic,0.0,2,attestation7677074144072
Robot3,Verifier,verification_logic,0.0,2,attestation7677074523471
Robot3,Verifier,verification_logic,0.0,2,attestation7677074519156
Robot3,Verifier,verification_logic,0.0,2,attestation7677074705097
Robot3,Verifier,verification_logic,0.0,2,attestation7677074897986
Robot3,Verifier,verification_logic,0.0,3,attestation7677075984541
Robot3,Verifier,verification_logic,0.0,3,attestation7677076164967
Robot3,Verifier,verification_logic,0.0,3,attestation7677076165257
Robot3,Verifier,verification_logic,0.0,3,attestation7677076352633
Robot3,Verifier,verification_logic,0.0,3,attestation7677076534676
Robot3,Verifier,verification_logic,0.0,3,attestation7677076723726
Robot3,Verifier,verification_logic,0.0,3,attestation7677076721468
Robot3,Verifier,verification_logic,0.0,3,attestation7677076901847
Robot3,Verifier,verification_logic,0.0,4,attestation7677078004608
Robot3,Verifier,verification_logic,0.0,4,attestation7677078189538
Robot3,Verifier,verification_logic,0.0,4,attestation7677078364108
Robot3,Verifier,verification_logic,0.0,4,attestation7677078558771
Robot3,Verifier,verification_logic,0.0,4,attestation7677078922016
Robot3,Verifier,verification_logic,0.0,4,attestation7677079109460
Robot3,Verifier,verification_logic,0.0,4,attestation7677079299907
Robot3,Verifier,verification_logic,0.0,5,attestation7677080198371
Robot3,Verifier,verification_logic,0.0,5,attestation7677080388621
Robot3,Verifier,verification_logic,0.0,5,attestation7677080559891
Robot3,Verifier,verification_logic,0.0,5,attestation7677080747223
Robot3,Verifier,verification_logic,0.0,5,attestation7677081111168
Robot3,Verifier,verification_logic,0.0,5,attestation7677081115994
Robot3,Verifier,verification_logic,0.0,5,attestation7677081308100
Robot3,Verifier,verification_logic,0.0,5,attestation7677081491390
Robot4,Verifier,blockchain_read,0.113,1,attestation7677071401571
Robot4,Verifier,blockchain_read,0.182,1,attestation7677071402514
Robot4,Verifier,blockchain_read,0.101,1,attestation7677071587000
Robot4,Verifier,blockchain_read,0.261,1,attestation7677071775522
Robot4,Verifier,blockchain_read,0.013000000000000001,1,attestation7677071957767
Robot4,Verifier,blockchain_read,0.019,1,attestation7677071961900
Robot4,Verifier,blockchain_read,0.179,1,attestation7677072142175
Robot4,Verifier,blockchain_read,0.037,1,attestation7677072334467
Robot4,Verifier,blockchain_read,0.073,1,attestation7677072516615
Robot4,Verifier,blockchain_read,0.024,1,attestation7677072529352
Robot4,Verifier,blockchain_read,0.19,1,attestation7677072712761
Robot4,Verifier,blockchain_read,0.033,2,attestation7677073594344
Robot4,Verifier,blockchain_read,0.1,2,attestation7677073787832
Robot4,Verifier,blockchain_read,0.199,2,attestation7677074154435
Robot4,Verifier,blockchain_read,0.076,2,attestation7677074154573
Robot4,Verifier,blockchain_read,0.162,2,attestation7677074513490
Robot4,Verifier,blockchain_read,0.093,2,attestation7677074701393
Robot4,Verifier,blockchain_read,0.014,2,attestation7677074701729
Robot4,Verifier,blockchain_read,0.182,2,attestation7677074899598
Robot4,Verifier,blockchain_read,0.168,3,attestation7677075791470
Robot4,Verifier,blockchain_read,0.02,3,attestation7677075798273
Robot4,Verifier,blockchain_read,0.096,3,attestation7677075988661
Robot4,Verifier,blockchain_read,0.093,3,attestation7677076162506
Robot4,Verifier,blockchain_read,0.17500000000000002,3,attestation7677076351912
Robot4,Verifier,blockchain_read,0.018000000000000002,3,attestation7677076356690
Robot4,Verifier,blockchain_read,0.166,3,attestation7677076535447
Robot4,Verifier,blockchain_read,0.166,3,attestation7677076914404
Robot4,Verifier,blockchain_read,0.034,4,attestation7677078009521
