n_robots,ssp_ms,iterq,cpu_limit,participant,run,role,metric,run_median_s,run_mean_s,participant_group
4,20000.0,1.0,,Robot4,4,prover,total_lifecycle,5.2248719235,5.2130171585000005,Robot
4,20000.0,1.0,,Robot4,5,prover,e2e_blockchain,4.5775524815,4.379597251,Robot
4,20000.0,1.0,,Robot4,5,prover,evidence_call,0.010958173000000002,0.011848783666666668,Robot
4,20000.0,1.0,,Robot4,5,prover,total_lifecycle,4.590023803999999,4.391743275166667,Robot
4,20000.0,1.0,,Robot4,5,verifier,reaction_time,0.0134281115,0.011167611333333334,Robot
4,20000.0,1.0,,Robot4,5,verifier,result_call,0.006035951499999999,0.006775632833333333,Robot
4,20000.0,1.0,,Robot4,5,verifier,signatures_fetch,0.0026233100000000002,0.0029796365,Robot
4,20000.0,1.0,,Robot4,5,verifier,total_lifecycle,0.010080607,0.009783095833333333,Robot
4,20000.0,1.0,,Robot4,5,verifier,verify_compute,2.062e-06,1.8324999999999998e-06,Robot
4,20000.0,1.0,,SECaaS,1,oracle,db_lookup,0.0009162835000000001,0.00104185125,SECaaS
4,20000.0,1.0,,SECaaS,1,oracle,prover_addr_fetch,0.011355486500000001,0.012308834916666666,SECaaS
4,20000.0,1.0,,SECaaS,1,oracle,reaction_time,0.129794162,0.13122475012499998,SECaaS
4,20000.0,1.0,,SECaaS,1,oracle,ref_signature_call,0.034966201499999995,0.037273969444444444,SECaaS
4,20000.0,1.0,,SECaaS,1,oracle,total_lifecycle,0.0673404945,0.07295996961111112,SECaaS
4,20000.0,1.0,,SECaaS,1,verifier,reaction_time,0.08674398900000001,0.1132398575,SECaaS
4,20000.0,1.0,,SECaaS,1,verifier,result_call,0.0442376815,0.046533179333333334,SECaaS
4,20000.0,1.0,,SECaaS,1,verifier,signatures_fetch,0.010786995,0.011817514000000001,SECaaS
4,20000.0,1.0,,SECaaS,1,verifier,total_lifecycle,0.08627182650000001,0.09251450916666666,SECaaS
4,20000.0,1.0,,SECaaS,1,verifier,verify_compute,9.282e-06,9.031833333333332e-06,SECaaS
4,20000.0,1.0,,SECaaS,2,oracle,db_lookup,0.000905626,0.0008849282083333333,SECaaS
4,20000.0,1.0,,SECaaS,2,oracle,prover_addr_fetch,0.0101207915,0.010533959208333332,SECaaS
4,20000.0,1.0,,SECaaS,2,oracle,reaction_time,0.114279849,0.11602024116666666,SECaaS
4,20000.0,1.0,,SECaaS,2,oracle,ref_signature_call,0.0325100155,0.03268770188888889,SECaaS
4,20000.0,1.0,,SECaaS,2,oracle,total_lifecycle,0.064255878,0.06294700261111111,SECaaS
4,20000.0,1.0,,SECaaS,2,verifier,reaction_time,0.11211881950000002,0.09413172250000001,SECaaS
4,20000.0,1.0,,SECaaS,2,verifier,result_call,0.0437277665,0.041954072333333335,SECaaS
