n_robots,mode,participant,run,role,metric,run_mean_s,participant_group
10,continuous,Robot3,2,verifier,reaction_time,0.011523985714285714,Robot
10,continuous,Robot3,2,verifier,result_call,0.016771779785714286,Robot
10,continuous,Robot3,2,verifier,signatures_fetch,0.0029985292857142858,Robot
10,continuous,Robot3,2,verifier,total_lifecycle,0.019840003999999998,Robot
10,continuous,Robot3,2,verifier,verify_compute,6.718571428571429e-07,Robot
10,continuous,Robot3,3,prover,e2e_blockchain,4.998482803818181,Robot
10,continuous,Robot3,3,prover,evidence_call,0.010336319636363637,Robot
10,continuous,Robot3,3,prover,total_lifecycle,5.1939967472727275,Robot
10,continuous,Robot3,3,verifier,reaction_time,0.008006221625,Robot
10,continuous,Robot3,3,verifier,result_call,0.01018042475,Robot
10,continuous,Robot3,3,verifier,signatures_fetch,0.001780452875,Robot
10,continuous,Robot3,3,verifier,total_lifecycle,0.012029636625,Robot
10,continuous,Robot3,3,verifier,verify_compute,7.004375e-07,Robot
10,continuous,Robot3,4,prover,e2e_blockchain,5.1564057311,Robot
10,continuous,Robot3,4,prover,evidence_call,0.0160865224,Robot
10,continuous,Robot3,4,prover,total_lifecycle,5.4126548077,Robot
10,continuous,Robot3,4,verifier,reaction_time,0.022017947833333332,Robot
10,continuous,Robot3,4,verifier,result_call,0.013452917666666668,Robot
10,continuous,Robot3,4,verifier,signatures_fetch,0.005829483611111112,Robot
10,continuous,Robot3,4,verifier,total_lifecycle,0.019353838722222225,Robot
10,continuous,Robot3,4,verifier,verify_compute,7.252222222222223e-07,Robot
10,continuous,Robot3,5,prover,e2e_blockchain,5.335925462545455,Robot
10,continuous,Robot3,5,prover,evidence_call,0.009911007,Robot
10,continuous,Robot3,5,prover,total_lifecycle,5.571454825818182,Robot
10,continuous,Robot3,5,verifier,reaction_time,0.004400017636363636,Robot
10,continuous,Robot3,5,verifier,result_call,0.01846286481818182,Robot
10,continuous,Robot3,5,verifier,signatures_fetch,0.0027550923636363634,Robot
10,continuous,Robot3,5,verifier,total_lifecycle,0.021310607636363634,Robot
10,continuous,Robot3,5,verifier,verify_compute,7.346363636363636e-07,Robot
10,continuous,Robot4,1,prover,e2e_blockchain,5.045843786454546,Robot
10,continuous,Robot4,1,prover,evidence_call,0.013041403545454544,Robot
10,continuous,Robot4,1,prover,total_lifecycle,5.230892510818181,Robot
10,continuous,Robot4,1,verifier,reaction_time,0.0125260676,Robot
10,continuous,Robot4,1,verifier,result_call,0.0204973548,Robot
10,continuous,Robot4,1,verifier,signatures_fetch,0.0042019182,Robot
10,continuous,Robot4,1,verifier,total_lifecycle,0.0247935467,Robot
10,continuous,Robot4,1,verifier,verify_compute,2.1283000000000004e-06,Robot
10,continuous,Robot4,2,prover,e2e_blockchain,5.124108589090909,Robot
10,continuous,Robot4,2,prover,evidence_call,0.010019846818181818,Robot
