n_robots,participant,run,role,metric,duration_s
16,Robot4,10,prover,total_lifecycle,2.870718353
16,Robot4,2,prover,e2e_blockchain,4.680623369
16,Robot4,2,prover,evidence_call,0.014339115
16,Robot4,2,prover,total_lifecycle,4.697273505
16,Robot4,3,prover,e2e_blockchain,3.36863888
16,Robot4,3,prover,evidence_call,0.018265916
16,Robot4,3,prover,total_lifecycle,3.3840175909999997
16,Robot4,4,prover,e2e_blockchain,2.9695121490000003
16,Robot4,4,prover,evidence_call,0.01366844
16,Robot4,4,prover,total_lifecycle,2.984650201
16,Robot4,5,prover,e2e_blockchain,3.617379569
16,Robot4,5,prover,evidence_call,0.012892121
16,Robot4,5,prover,total_lifecycle,3.6326545620000004
16,Robot4,6,prover,e2e_blockchain,3.260520544
16,Robot4,6,prover,evidence_call,0.010449064999999999
16,Robot4,6,prover,total_lifecycle,3.272019206
16,Robot4,7,prover,e2e_blockchain,2.891835235
16,Robot4,7,prover,evidence_call,0.01119055
16,Robot4,7,prover,total_lifecycle,2.909666879
16,Robot4,8,prover,e2e_blockchain,3.549412023
16,Robot4,8,prover,evidence_call,0.017407006
16,Robot4,8,prover,total_lifecycle,3.561166502
16,Robot4,9,prover,e2e_blockchain,3.189980532
16,Robot4,9,prover,evidence_call,0.013105603
16,Robot4,9,prover,total_lifecycle,3.203907488
16,Robot5,1,prover,e2e_blockchain,3.208700648
16,Robot5,1,prover,evidence_call,0.063783168
16,Robot5,1,prover,total_lifecycle,3.2247219530000004
16,Robot5,10,prover,e2e_blockchain,2.8508498970000002
16,Robot5,10,prover,evidence_call,0.011772745999999999
16,Robot5,10,prover,total_lifecycle,2.8634819830000002
16,Robot5,2,prover,e2e_blockchain,4.68021636
16,Robot5,2,prover,evidence_call,0.014542994
16,Robot5,2,prover,total_lifecycle,4.695458659
16,Robot5,3,prover,e2e_blockchain,5.296191146
16,Robot5,3,prover,evidence_call,0.017369449
16,Robot5,3,prover,total_lifecycle,5.310958627
16,Robot5,4,prover,e2e_blockchain,2.9282469150000003
16,Robot5,4,prover,evidence_call,0.012799478999999999
16,Robot5,4,prover,total_lifecycle,2.9414033760000002
16,Robot5,5,prover,e2e_blockchain,3.5971963700000003
16,Robot5,5,prover,evidence_call,0.01590571
16,Robot5,5,prover,total_lifecycle,3.6147001260000002
16,Robot5,6,prover,e2e_blockchain,3.234886736
16,Robot5,6,prover,evidence_call,0.008660631
16,Robot5,6,prover,total_lifecycle,3.247982526
16,Robot5,7,prover,e2e_blockchain,2.8947802990000002
16,Robot5,7,prover,evidence_call,0.010656518
16,Robot5,7,prover,total_lifecycle,2.914292872
16,Robot5,8,prover,e2e_blockchain,3.522453207
16,Robot5,8,prover,evidence_call,0.018215021
16,Robot5,8,prover,total_lifecycle,3.534970925
16,Robot5,9,prover,e2e_blockchain,3.200035741
16,Robot5,9,prover,evidence_call,0.011472468
16,Robot5,9,prover,total_lifecycle,3.213308802
16,Robot6,1,prover,e2e_blockchain,3.169463077
16,Robot6,1,prover,evidence_call,0.18329173099999999
16,Robot6,1,prover,total_lifecycle,3.186598234
16,Robot6,10,prover,e2e_blockchain,2.85327998
16,Robot6,10,prover,evidence_call,0.015651434
16,Robot6,10,prover,total_lifecycle,2.8697471869999998
16,Robot6,2,prover,e2e_blockchain,2.706308857
16,Robot6,2,prover,evidence_call,0.011304749
16,Robot6,2,prover,total_lifecycle,2.724303849
16,Robot6,3,prover,e2e_blockchain,3.363070483
16,Robot6,3,prover,evidence_call,0.029471132999999997
16,Robot6,3,prover,total_lifecycle,3.378816395
16,Robot6,4,prover,e2e_blockchain,2.943523028
16,Robot6,4,prover,evidence_call,0.011647947
16,Robot6,4,prover,total_lifecycle,2.957268871
16,Robot6,5,prover,e2e_blockchain,3.589793509
16,Robot6,5,prover,evidence_call,0.010610768999999999
16,Robot6,5,prover,total_lifecycle,3.6039102859999996
16,Robot6,6,prover,e2e_blockchain,3.206084898
16,Robot6,6,prover,evidence_call,0.017965875
16,Robot6,6,prover,total_lifecycle,3.21720558
16,Robot6,7,prover,e2e_blockchain,2.891800914
16,Robot6,7,prover,evidence_call,0.017083386000000002
16,Robot6,7,prover,total_lifecycle,2.910307574
16,Robot6,8,prover,e2e_blockchain,3.4886003999999997
16,Robot6,8,prover,evidence_call,0.010732575000000001
16,Robot6,8,prover,total_lifecycle,3.5071377299999997
16,Robot6,9,prover,e2e_blockchain,3.172902795
16,Robot6,9,prover,evidence_call,0.014310083999999999
