n_robots,participant,run,role,metric,run_median_s,run_mean_s,participant_group
4,Robot4,6,prover,e2e_blockchain,3.085053152,3.085053152,Robot
4,Robot4,6,prover,evidence_call,0.013857699999999999,0.013857699999999999,Robot
4,Robot4,6,prover,total_lifecycle,3.095148823,3.095148823,Robot
4,Robot4,7,prover,e2e_blockchain,2.882456686,2.882456686,Robot
4,Robot4,7,prover,evidence_call,0.018647545,0.018647545,Robot
4,Robot4,7,prover,total_lifecycle,2.8939578769999996,2.8939578769999996,Robot
4,Robot4,8,prover,e2e_blockchain,3.906282122,3.906282122,Robot
4,Robot4,8,prover,evidence_call,0.014197164,0.014197164,Robot
4,Robot4,8,prover,total_lifecycle,3.916324827,3.916324827,Robot
4,Robot4,9,prover,e2e_blockchain,3.694372711,3.694372711,Robot
4,Robot4,9,prover,evidence_call,0.014010189000000001,0.014010189000000001,Robot
4,Robot4,9,prover,total_lifecycle,3.705189539,3.705189539,Robot
4,Robot4,10,prover,e2e_blockchain,2.474671099,2.474671099,Robot
4,Robot4,10,prover,evidence_call,0.014718449,0.014718449,Robot
4,Robot4,10,prover,total_lifecycle,2.4903598579999997,2.4903598579999997,Robot
4,Robot4,11,prover,e2e_blockchain,2.464163516,2.464163516,Robot
4,Robot4,11,prover,evidence_call,0.014834052,0.014834052,Robot
4,Robot4,11,prover,total_lifecycle,2.479162408,2.479162408,Robot
4,Robot4,12,prover,e2e_blockchain,3.28531599,3.28531599,Robot
4,Robot4,12,prover,evidence_call,0.014255805,0.014255805,Robot
4,Robot4,12,prover,total_lifecycle,3.2994099890000004,3.2994099890000004,Robot
4,Robot4,13,prover,e2e_blockchain,3.078219263,3.078219263,Robot
4,Robot4,13,prover,evidence_call,0.011780295000000001,0.011780295000000001,Robot
4,Robot4,13,prover,total_lifecycle,3.0881633280000003,3.0881633280000003,Robot
4,Robot4,14,prover,e2e_blockchain,2.873676262,2.873676262,Robot
4,Robot4,14,prover,evidence_call,0.013403496,0.013403496,Robot
4,Robot4,14,prover,total_lifecycle,2.887389149,2.887389149,Robot
4,Robot4,15,prover,e2e_blockchain,3.692739419,3.692739419,Robot
4,Robot4,15,prover,evidence_call,0.011040646000000001,0.011040646000000001,Robot
4,Robot4,15,prover,total_lifecycle,3.703344768,3.703344768,Robot
4,Robot4,16,prover,e2e_blockchain,2.6609876760000004,2.6609876760000004,Robot
4,Robot4,16,prover,evidence_call,0.012682324,0.012682324,Robot
4,Robot4,16,prover,total_lifecycle,2.6737879280000003,2.6737879280000003,Robot
4,Robot4,17,prover,e2e_blockchain,3.486235436,3.486235436,Robot
4,Robot4,17,prover,evidence_call,0.013197305,0.013197305,Robot
4,Robot4,17,prover,total_lifecycle,3.497524355,3.497524355,Robot
4,Robot4,18,prover,e2e_blockchain,3.274965279,3.274965279,Robot
4,Robot4,18,prover,evidence_call,0.009864936,0.009864936,Robot
4,Robot4,18,prover,total_lifecycle,3.284224942,3.284224942,Robot
4,Robot4,19,prover,e2e_blockchain,2.250301697,2.250301697,Robot
4,Robot4,19,prover,evidence_call,0.012374039,0.012374039,Robot
4,Robot4,19,prover,total_lifecycle,2.260132411,2.260132411,Robot
4,Robot4,20,prover,e2e_blockchain,4.092423668,4.092423668,Robot
4,Robot4,20,prover,evidence_call,0.015228629,0.015228629,Robot
4,Robot4,20,prover,total_lifecycle,4.105335994,4.105335994,Robot
4,SECaaS,1,oracle,db_lookup,0.0009834535,0.00115876875,SECaaS
4,SECaaS,1,oracle,prover_addr_fetch,0.014232752500000001,0.01622932625,SECaaS
4,SECaaS,1,oracle,reaction_time,0.1459964935,0.1448683175,SECaaS
4,SECaaS,1,verifier,reaction_time,0.1459964935,0.1448683175,SECaaS
4,SECaaS,1,verifier,result_call,0.0432826045,0.043720128750000004,SECaaS
