n_robots,ssp_ms,iterq,cpu_limit,participant,run,role,metric,duration_s
16,20000.0,1.0,,Robot10,3,verifier,signatures_fetch,0.005797203
16,20000.0,1.0,,Robot10,3,verifier,signatures_fetch,0.0015441769999999999
16,20000.0,1.0,,Robot10,3,verifier,signatures_fetch,0.003172052
16,20000.0,1.0,,Robot10,3,verifier,verify_compute,9.940000000000001e-07
16,20000.0,1.0,,Robot10,3,verifier,verify_compute,8.009999999999999e-07
16,20000.0,1.0,,Robot10,3,verifier,verify_compute,1.1150000000000001e-06
16,20000.0,1.0,,Robot10,3,verifier,verify_compute,2.0709999999999997e-06
16,20000.0,1.0,,Robot10,3,verifier,verify_compute,2.238e-06
16,20000.0,1.0,,Robot10,3,verifier,verify_compute,8.34e-07
16,20000.0,1.0,,Robot10,3,verifier,verify_compute,8.39e-07
16,20000.0,1.0,,Robot10,3,verifier,result_call,0.014784531
16,20000.0,1.0,,Robot10,3,verifier,result_call,0.011230708999999998
16,20000.0,1.0,,Robot10,3,verifier,result_call,0.019145273
16,20000.0,1.0,,Robot10,3,verifier,result_call,0.009967732
16,20000.0,1.0,,Robot10,3,verifier,result_call,0.015228293
16,20000.0,1.0,,Robot10,3,verifier,result_call,0.010083924
16,20000.0,1.0,,Robot10,3,verifier,result_call,0.012177617
16,20000.0,1.0,,Robot10,3,verifier,total_lifecycle,0.016413651
16,20000.0,1.0,,Robot10,3,verifier,total_lifecycle,0.013495736000000001
16,20000.0,1.0,,Robot10,3,verifier,total_lifecycle,0.021262262
16,20000.0,1.0,,Robot10,3,verifier,total_lifecycle,0.011378092000000001
16,20000.0,1.0,,Robot10,3,verifier,total_lifecycle,0.021058663
16,20000.0,1.0,,Robot10,3,verifier,total_lifecycle,0.011662307
16,20000.0,1.0,,Robot10,3,verifier,total_lifecycle,0.015362968999999999
16,20000.0,1.0,,Robot11,1,prover,e2e_blockchain,5.741548785
16,20000.0,1.0,,Robot11,1,prover,e2e_blockchain,5.204296967
16,20000.0,1.0,,Robot11,1,prover,e2e_blockchain,4.684968369
16,20000.0,1.0,,Robot11,1,prover,e2e_blockchain,4.163912888
16,20000.0,1.0,,Robot11,1,prover,e2e_blockchain,5.681902001
16,20000.0,1.0,,Robot11,1,prover,e2e_blockchain,5.136259561
16,20000.0,1.0,,Robot11,1,prover,evidence_call,0.02045396
16,20000.0,1.0,,Robot11,1,prover,evidence_call,0.016328918
16,20000.0,1.0,,Robot11,1,prover,evidence_call,0.014810295999999999
16,20000.0,1.0,,Robot11,1,prover,evidence_call,0.008378292
16,20000.0,1.0,,Robot11,1,prover,evidence_call,0.017330568
16,20000.0,1.0,,Robot11,1,prover,evidence_call,0.012004656
16,20000.0,1.0,,Robot11,1,prover,total_lifecycle,5.762661445
16,20000.0,1.0,,Robot11,1,prover,total_lifecycle,5.217665331
16,20000.0,1.0,,Robot11,1,prover,total_lifecycle,4.70285753
16,20000.0,1.0,,Robot11,1,prover,total_lifecycle,4.180820947
16,20000.0,1.0,,Robot11,1,prover,total_lifecycle,5.692555014
16,20000.0,1.0,,Robot11,1,prover,total_lifecycle,5.149279453
16,20000.0,1.0,,Robot11,1,verifier,reaction_time,0.006845429
16,20000.0,1.0,,Robot11,1,verifier,reaction_time,0.005677856
16,20000.0,1.0,,Robot11,1,verifier,reaction_time,0.015731334
16,20000.0,1.0,,Robot11,1,verifier,reaction_time,0.013772738999999999
16,20000.0,1.0,,Robot11,1,verifier,reaction_time,0.0116155
16,20000.0,1.0,,Robot11,1,verifier,reaction_time,0.010788382000000001
16,20000.0,1.0,,Robot11,1,verifier,signatures_fetch,0.004026458
16,20000.0,1.0,,Robot11,1,verifier,signatures_fetch,0.002394574
16,20000.0,1.0,,Robot11,1,verifier,signatures_fetch,0.012462363
16,20000.0,1.0,,Robot11,1,verifier,signatures_fetch,0.005998095
16,20000.0,1.0,,Robot11,1,verifier,signatures_fetch,0.002979502
16,20000.0,1.0,,Robot11,1,verifier,signatures_fetch,0.007443745
16,20000.0,1.0,,Robot11,1,verifier,verify_compute,2.883e-06
16,20000.0,1.0,,Robot11,1,verifier,verify_compute,1.648e-06
16,20000.0,1.0,,Robot11,1,verifier,verify_compute,2.1570000000000003e-06
16,20000.0,1.0,,Robot11,1,verifier,verify_compute,1.512e-06
16,20000.0,1.0,,Robot11,1,verifier,verify_compute,7.41e-07
16,20000.0,1.0,,Robot11,1,verifier,verify_compute,2.34e-06
16,20000.0,1.0,,Robot11,1,verifier,result_call,0.008011205
16,20000.0,1.0,,Robot11,1,verifier,result_call,0.016600673
16,20000.0,1.0,,Robot11,1,verifier,result_call,0.026884519000000003
16,20000.0,1.0,,Robot11,1,verifier,result_call,0.019091486
16,20000.0,1.0,,Robot11,1,verifier,result_call,0.012830979
16,20000.0,1.0,,Robot11,1,verifier,result_call,0.012062482
16,20000.0,1.0,,Robot11,1,verifier,total_lifecycle,0.01209312
16,20000.0,1.0,,Robot11,1,verifier,total_lifecycle,0.019024003
16,20000.0,1.0,,Robot11,1,verifier,total_lifecycle,0.039381889
16,20000.0,1.0,,Robot11,1,verifier,total_lifecycle,0.025129287
16,20000.0,1.0,,Robot11,1,verifier,total_lifecycle,0.015834914
16,20000.0,1.0,,Robot11,1,verifier,total_lifecycle,0.019566814999999998
16,20000.0,1.0,,Robot11,2,prover,e2e_blockchain,4.781320181
16,20000.0,1.0,,Robot11,2,prover,e2e_blockchain,4.255205774
16,20000.0,1.0,,Robot11,2,prover,e2e_blockchain,5.752502722999999
16,20000.0,1.0,,Robot11,2,prover,e2e_blockchain,5.217817868
16,20000.0,1.0,,Robot11,2,prover,e2e_blockchain,4.698636477
16,20000.0,1.0,,Robot11,2,prover,e2e_blockchain,4.195191914
16,20000.0,1.0,,Robot11,2,prover,evidence_call,0.026761256
16,20000.0,1.0,,Robot11,2,prover,evidence_call,0.021243737
16,20000.0,1.0,,Robot11,2,prover,evidence_call,0.009884814
16,20000.0,1.0,,Robot11,2,prover,evidence_call,0.011621651
16,20000.0,1.0,,Robot11,2,prover,evidence_call,0.011941095
16,20000.0,1.0,,Robot11,2,prover,evidence_call,0.016058867
16,20000.0,1.0,,Robot11,2,prover,total_lifecycle,4.7957188969999995
